randomness parameter value;Pairing;Smooth;Slim;Pairing Lazy;Splay Tree;Pairing Slim;Pairing Smooth
randomness parameter value;0;12;24;25;26;27;28
1e-05;3.3110000000000004;0.9997999999999998;0.9997999999999998;4.376699999999999;104069.00479999998;1.4998;1.4998
0.01001;9.68938;10.02771;10.74887;13.30792;180582.58547000002;11.19014;10.3951
0.02001;10.84989;11.64254;12.75543;15.636839999999998;197600.05558000001;13.13861;12.1402
0.03001;11.53934;12.603110000000001;13.966589999999998;17.096839999999997;207769.98705;14.317969999999999;13.186110000000001
0.040010000000000004;12.01215;13.251129999999998;14.82013;18.15267;214895.88256;15.11937;13.91724
0.050010000000000006;12.36986;13.75271;15.433349999999999;18.9563;220473.36945;15.6996;14.47714
0.06001;12.65888;14.157410000000002;15.954839999999999;19.64333;224794.36682;16.214380000000002;14.91826
0.07001;12.89806;14.4895;16.39523;20.22106;228862.04169999997;16.60935;15.281260000000001
0.08001;13.109160000000001;14.78548;16.76659;20.70905;232132.41907000003;16.9809;15.61203
0.09000999999999999;13.28423;15.01914;17.07148;21.141420000000004;234947.89284;17.25627;15.89051
0.10001;13.44167;15.24431;17.353830000000002;21.50021;237168.01508999997;17.55298;16.12056
0.11001;13.58528;15.45306;17.584069999999997;21.87798;238920.72035999998;17.76352;16.33175
0.12000999999999999;13.70377;15.626550000000002;17.824230000000004;22.144689999999997;241864.51761;17.98036;16.52737
0.13001000000000001;13.80998;15.77084;18.00485;22.39991;243507.57859000002;18.1649;16.70591
0.14001000000000002;13.913180000000002;15.914919999999999;18.208440000000003;22.6716;245466.43527000002;18.338750000000005;16.86775
0.15001;13.99235;16.0279;18.336609999999997;22.891220000000008;246156.12768;18.46056;16.9711
0.16001;14.08013;16.15211;18.50953;23.079639999999998;247459.42878000002;18.6014;17.117089999999997
0.17001000000000002;14.15814;16.257450000000002;18.61567;23.255719999999997;248313.96734;18.72112;17.222710000000003
0.18001;14.23121;16.36189;18.766180000000002;23.47526;250074.84111;18.8569;17.36217
0.19001;14.292200000000001;16.437250000000002;18.84008;23.603450000000002;251244.41412000003;18.93854;17.437640000000002
0.20001000000000002;14.358039999999999;16.53457;18.98904;23.75779;252324.62988999998;19.058490000000003;17.52379
0.21001;14.396479999999997;16.58813;19.04203;23.87966;253378.34276;19.1008;17.61439
0.22001;14.44404;16.65069;19.1407;23.98232;253351.82871;19.20495;17.6959
0.23001000000000002;14.50537;16.732499999999998;19.248310000000004;24.137779999999996;254884.78569000002;19.27405;17.76648
0.24001;14.542720000000001;16.79646;19.329580000000004;24.23727;255356.94578999997;19.36423;17.82281
0.25001;14.583470000000002;16.84882;19.37725;24.34578;256356.70469999997;19.395580000000002;17.8866
0.26001;14.61838;16.891560000000002;19.45515;24.459580000000003;256314.60509;19.49012;17.95882
0.27001000000000003;14.65315;16.95148;19.51901;24.49754;257761.23966000002;19.542389999999997;17.993020000000005
0.28001000000000004;14.695389999999998;17.02732;19.57074;24.611539999999998;258912.45015000002;19.62481;18.067269999999997
0.29001;14.709580000000003;17.04163;19.61364;24.687420000000003;259410.80075;19.66079;18.10353
