randomness parameter value;Pairing;Smooth;Smooth18
randomness parameter value;0;12;14
2;0.5;0.0;0.5
4;1.35;0.6;1.0499999999999998
8;2.025;1.3;1.65
16;3.5125;2.2125000000000004;2.45
32;5.05;3.0250000000000004;3.18125
64;6.4624999999999995;4.034375;4.121875
128;7.93125;4.8203125;4.8984375
256;9.46328125;5.690625000000001;5.715624999999999
512;10.770703125;6.578125;6.59453125
1024;12.1029296875;7.459765625;7.472460937500001
2048;13.376953125;8.35986328125;8.36083984375
4096;14.676660156250001;9.222314453125;9.225439453125
8192;15.946264648437499;10.109228515625;10.107202148437498
16384;17.20384521484375;10.96829833984375;10.96964111328125
