randomness parameter value;Pairing;Smooth
randomness parameter value;0;12
2;0.0;0.0
4;0.65;0.5625000000000002
8;1.23125;1.0187499999999998
16;1.6718750000000004;1.3375
32;2.2546875;1.55
64;2.5328125;1.80078125
128;2.7156249999999997;1.9242187499999999
256;3.0244140624999996;1.9865234375000003
512;3.17080078125;2.07734375
1024;3.230126953125;2.1288574218750007
2048;3.3331298828125;2.155859375
4096;3.3716308593749997;2.1764892578125
8192;3.4386779785156256;2.2006591796875
16384;3.4799468994140628;2.2073852539062497
32768;3.4966629028320315;2.211355590820313
65536;3.5240753173828128;2.215667724609375
131072;3.5682422637939446;2.218004608154297
